𣺌 miǎo
𣸼 yuán
𣸸 tiān
𣸣 fén
𣷞 xiè
𣶫 yì
𣴁 xī
𣭤 bì
𣬝 liáo
𣤭 jiān
𣛮 shēng
𣗬 chòu
𣕤 zǎo
𣒍 hé
𣑮 nán
𣐩 shēn
𣐤 jiu
𣏪 shuāng
𣎑 kuān
𣎆 luò
𣍐 fèi
𣊫 liù
𣇶 mò
𢾝 wéi
𢺳 mán
𢹥 yā
𢷅 lù
𢷃 nào
𢶣 dié
𢴚 nì
𢴒 pēng
𢴈 dá
𢳥 cāo
𢲫 mā
𢫕 yǒng
𢫆 bō
𢩪 liāo
𢦣 yè
𢦔 zāi
𢢼 biāo
𢙠 yín
𢙓 wèi
𢖼 tè
𢎯 yí
𢆡 niān
𢅖 lián
𢀓 jù
𡿺 nǎo
𡸫 pīn
𡶾 shí
𡲆 jī
𡰣 shī
𡰂 kuī
𡦹 guān
𡥧 jìn
𡥘 chuā
𡞾 nèn
𡝗 qún
𡜿 mǔ
𡛰 zhí
𡚸 yāo
𡚦 jī
𡗗 pěng
𡗔 tài
𡕥 xuè
𡎊 fàn
𡎁 hù
𡌣 zào
𡉦 wù
𡉡 zuò
𡉂 tǐng
𡆢 qiú
𡃵 yōng
𡃴 chú
𡃖 lē
𡃓 bō
𡀇 dǒng
𠼻 jī
𠼮 ǎi
𠻳 zuò
𠹳 jié
𠹭 gē
𠸍 xiào
𠷨 biǎn
𠷠 qǐ
𠵘 mèn
𠵓 xuán
𠰢 bā
𠮷 jí
𠬶 jìn
𠫒 yuán
𠪳 hǔ
𠪲 jǐn
𠪱 lì
𠪢 qīn
𠩕 sī
𠨐 yǎng
𠦡 xìng
𠝹 jiè
𠜎 xiàn
𠚣 dāo
𠚡 tāo
𠖥 chǒng
𠕩 bēi
𠕇 diàn
𠕆 diàn
𠕅 zài
𠔉 juàn
𠎒 mèn
𠍦 xián
𠍐 hú,lěng
𠋆 chèn
𠊟 mǐn
𠉂 tà
𠈘 kuí
𠇼 hǔ
𠅣 gǎng
𠄠 shàng
𠄐 mā
𠃔 jiǔ
𠃒 yě
𠁥 gǎ
𠁞 pēi
𠀾 pēi
𪎲 zuò
𥽿 zuò
𧃘 zuò
𨐳 zuò
𨝨 zuò
𦥬 zuò
𡹥 zuò
𥥏 zuò
𥅁 zuò
𡯨 zuò
𡋲 zuò
𠱯 zuò
𦈛 zuǒ
𨀨 zuǒ
𧲭 zuǒ
𥙀 zuǒ
𡯛 zuǒ
𠇸 zuǒ
𠂇 zuǒ
𪎇 zuó
𧮙 zuó
𤿀 zuó
𣠹 zuó
𦦹 zuó
𡪳 zuó
𦁎 zuó
𣹧 zuó,zhà
𢂃 zuó
𩛠 zuō
𨞒 zuó
𠹠 zuō
𩯄 zùn
𦪚 zùn
𥢎 zùn
𥊭 zùn
𦈏 mín
𥞘 zùn
𠱜 zùn
𦢐 zǔn
𠟃 zǔn
𦨆 zūn
𨱔 zūn
𤮐 zūn
𢍜 zūn
𪓌 zuì
𥳵 zuì
𥳣 zuì
𨢅 zuì
𡽕 zuì
𡽁 zuì
𧎹 zuì
𡡔 zuì
𩚻 zuì
𣩑 zuì
𦙈 zuì,cuì
𪋌 zuǐ
𡽛 zuǐ
𠾋 zuǐ
𠿘 zuǐ
𩲨 zuǐ
𢊛 zuǐ
𨿇 zuǐ
𦈬 zuǐ
𠲋 zuǐ
𦏳 zuǐ
𥍋 zuī,xiē,huǐ
𩣷 zuī,zhù
𦸺 zuī
𣖱 zuī
𡙭 zuī
𧻝 zuī
𢈡 zuī
𨰭 zuǎn
𩯒 zàn
𦆈 zuǎn,zuí
𦙉 zuǎn
𩎑 zuān
𣀶 zuān
𣪁 zuān
𨉖 zuān
𡉺 zuān
𧇿 zù
𩲲 zù
𧇈 zù
𦵬 zù
𥼪 zǔ
𥛜 zǔ
𨂀 zǔ
𢉺 zǔ
𣇙 zǔ
𤱌 zǔ
𤓵 zǔ
𪘧 zú
𩺯 zú
𣤶 zú,zā,zǎn
𩥿 zú
𧞰 zú
𪋍 zú
𥣆 zú
𢅪 zú
𧑙 zú
𨄕 zú
𥼀 zú
𧐈 zú
𨨳 zú
𨩰 zú
𩩠 zú
𨃭 zú
𧗎 zú
𨧰 zú
𧎲 zú
𢳈 zú
𩐡 zú
𦑋 zú
𡻬 zú
𠻏 zú
𤽱 zú
𣨛 zú
𥞯 zú
𣢰 zú
𧺒 zú
𢫵 zú
𠯣 zú
𠯁 zú
𤬧 zú
𪙳 zū
𩼦 zòu
𪃆 zòu
𨂡 zòu
𧌗 zǒu
𧺆 zǒu
𨑿 zǒu
𣠏 zōu
𥶈 zōu
𥋜 zōu
𨃘 zōu,qū
𩭛 jiǎo
𨽁 zōu,cóng
𣙻 zōu
𨜗 zōu
𠂑 zōu
𩋯 zòng
𣀒 zòng
𩤗 zòng
𠏭 zòng
𦖸 zòng
𤡆 zòng,zōng
𠡻 zòng
𨎢 zǒng
𩭤 zǒng,zōng
𨍈 zǒng
𥠡 zǒng
𠂳 zǒng
𨑹 cōng
𪖁 zōng
𩦲 zōng
𩰽 zōng
𩮀 zōng,zǒng,sōng
𦡙 zōng
𣯨 zōng
𨌰 zōng
𥍺 zōng
𥓻 zōng
𥚾 zōng
𡕰 zōng
𡞧 zōng
𨺡 zōng
𠵻 zōng
𧺣 zōng
𠕌 zōng
𧂐 zì
𦎸 zì
𨧫 zì
𧨴 zì
𧧕 zì
𦛹 zì
𦍺 zì
𥿩 zì
𣣌 zì,sì
𣓊 zì
