鮚	鲒
𪀾	𪉋
䌖	𦈜
屆	届
𩡺	𩧦
誡	诫
𪙏	𫜯
金鍊	金链
金吒	金吒
釒	钅
紟	𫄛
璡	琎
䌝	𦈟
巹	卺
僅	仅
緊	紧
儘	尽
錦	锦
謹	谨
饉	馑
勁	劲
晉	晋
進	进
盡	尽
縉	缙
壗	𡋤
藎	荩
濜	浕
覲	觐
燼	烬
贐	赆
䫴	𩖗
荊	荆
莖	茎
涇	泾
經	经
鯨	鲸
驚	惊
剄	刭
頸	颈
頸鍊	颈链
俓	𠇹
陘	陉
逕	迳
徑	径
凈	净
弳	弪
桱	𣐕
脛	胫
淨	净
葝	𫈎
痙	痉
䝼	䞍
靜	静
𩰹	𩰰
鏡	镜
競	竞
駫	𫘡
絅	䌹
熲	颎
糺	𫄙
糾	纠
鳩	鸠
𤳸	𤳄
鬮	阄
𩏷	𫃗
酒逢知己千鍾少	酒逢知己千锺少
廄	厩
舊	旧
欍	𣐤
鷲	鹫
俥	伡
駒	驹
䝻	𧹕
侷	局
鋦	锔
駶	𩧺
鶪	䴗
榘	矩
舉	举
櫸	榉
齟	龃
欅	榉
詎	讵
鉅	巨
鉅防	钜防
鉅萬	钜万
鉅子	钜子
寠	𪧘
劇	剧
據	据
鋸	锯
窶	窭
颶	飓
屨	屦
貗	𫎌
懼	惧
鋗	𫓶
𪌭	𫜓
鵑	鹃
鎸	镌
鐫	镌
捲	卷
錈	锩
雋	隽
絹	绢
𩜇	𩠉
撧	𪮖
屩	𪨗
決	决
訣	诀
絶	绝
絕	绝
駃	𫘝
蕝	𫈵
鴃	𫛞
𥖅	𥐯
譎	谲
鶌	𫛵
覺	觉
鐝	镢
鐍	𫔎
灍	𫞝
钁	镢
軍	军
鈞	钧
鈞覆	钧复
銁	𫓲
皸	皲
鮶	鲪
儁	俊
餕	馂
駿	骏
開	开
䤤	𫟺
鐦	锎
剴	剀
凱	凯
塏	垲
愷	恺
鍇	锴
闓	闿
鎧	铠
愾	忾
龕	龛
檻	槛
轗	𫐘
康乾	康乾
鱇	𩾌
閌	闶
鈧	钪
銬	铐
鮳	鲓
軻	轲
痾	疴
鈳	钶
頦	颏
𨍰	𫐔
顆	颗
殻	壳
剋	克
課	课
緙	缂
錁	锞
騍	骒
墾	垦
懇	恳
硜	硁
䡩	𫟥
鏗	铿
剾	𠛅
摳	抠
瞘	眍
釦	扣
𩑔	𫖪
𧷎	𪠀
𪍠	𫜕
庫	库
絝	绔
褲	裤
嚳	喾
誇	夸
擓	㧟
塊	块
儈	侩
鄶	郐
獪	狯
膾	脍
𥢶	𫞷
䯤	𩩈
鱠	鲙
寬	宽
髖	髋
䥗	𫔋
𦧺	𫇘
誆	诓
誑	诳
鵟	𫛭
儣	𠆲
況	况
貺	贶
鄺	邝
壙	圹
曠	旷
礦	矿
纊	纩
𨇁	𧿈
